filename filter object
d100 R bias
d101 R daphne
d102 R daphne
d103 R daphne
d104 R daphne
d105 R daphne
d106 R daphne
d107 R daphne
d108 R daphne
d109 I daphne
d110 I daphne
d111 I daphne
d112 I daphne
d113 I daphne
d114 I daphne
d115 I juno
d116 I juno
d117 I juno
d118 I juno
d119 I juno
d120 I juno
d121 I juno
d122 I juno
d123 I juno
d124 I juno
d125 I juno
d126 I juno
d127 I juno
d128 I juno
d129 I juno
d130 I juno
d131 I juno
d132 R juno
d133 R juno
d134 R juno
d135 R juno
d136 R juno
d137 R juno
d138 R juno
d139 R juno
d140 R juno
d141 R juno
d142 R juno
d143 R juno
d144 R juno
d145 R juno
d146 R juno
d147 R iris
d148 R iris
d149 R iris
d150 R iris
d151 R iris
d152 R iris
d153 R iris
d154 R iris
d155 R iris
d156 R iris
d157 R iris
d158 R iris
d159 R iris
d160 R iris
d161 R iris
d162 R iris
d163 R iris
d164 I iris
d165 I iris
d166 I iris
d167 I iris
d168 I iris
d169 I iris
d170 I iris
d171 I iris
d172 I iris
d173 I iris
d174 I iris
d175 I iris
d176 I iris
d177 I iris
d178 I iris
d179 I europa
d180 I europa
d181 I europa
d182 I europa
d183 I europa
d184 I europa
d185 I europa
d186 I europa
d187 R europa
d188 R europa
d189 R europa
d190 R europa
d191 R europa
d192 R europa
d193 R europa
