filename filter object
d100 R bias
d101 R daphne
d102 R daphne
d103 R daphne
d104 R daphne
d105 R daphne
d106 I daphne
d107 I daphne
d108 I daphne
d109 I daphne
d110 I daphne
d111 I daphne
d112 I juno
d113 I juno
d114 I juno
d115 I juno
d116 I juno
d117 I juno
d118 I juno
d119 I juno
d120 I juno
d121 I juno
d122 I juno
d123 I juno
d124 R juno
d125 R juno
d126 R juno
d127 R juno
d128 R juno
d129 R juno
d130 R juno
d131 R juno
d132 R juno
d133 R juno
d134 R iris
d135 R iris
d136 R iris
d137 R iris
d138 R iris
d139 R iris
d140 R iris
d141 R iris
d142 R iris
d143 R iris
d144 R iris
d145 R iris
d146 R iris
d147 R iris
d148 R iris
d149 I iris
d150 I iris
d151 I iris
d152 I iris
d153 I iris
d154 I iris
d155 I iris
d156 I iris
d157 I iris
d158 I iris
d159 I europa
d160 I europa
d161 I europa
d162 I europa
d163 I europa
d164 I europa
d165 R europa
d166 R europa
d167 R europa
d168 R europa
d169 R europa
d170 R europa
d171 R europa
d172 R europa
d173 R europa
d174 R europa
d175 R daphne
d176 R daphne
d177 R daphne
d178 R daphne
d179 R daphne
d180 R daphne
d181 R daphne
d182 R daphne
d183 I daphne
d184 I daphne
d185 I daphne
d186 I daphne
d187 I daphne
